Data;CAlg;Subp;Num.Trcs;Num.Act;Num.Evt;DAlg;Fitn;Prec;Gen;Size;NumTrans;ACD;CFC;CNC;Density;Time.HierAct;Time.Hierlog;Time.Dalg;Time.quality;t/o fit;t/o gen;
BPIC15_5;DK;11_OLO;1;1;1;SM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;3;42;false;false;
BPIC15_5;DK;11_OLO;1;1;1;IMf;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;0;38;false;false;
BPIC15_5;DK;11_OLO;1;1;1;IM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;0;32;false;false;
BPIC15_5;DK;08_OLO;1;1;1;SM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;3;45;false;false;
BPIC15_5;DK;08_OLO;1;1;1;IMf;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;0;38;false;false;
BPIC15_5;DK;08_OLO;1;1;1;IM;1.0;1.0;NaN;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;0;32;false;false;
BPIC15_5;DK;03_VD;10;1;10;SM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;2;242;false;false;
BPIC15_5;DK;03_VD;10;1;10;IMf;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;0;215;false;false;
BPIC15_5;DK;03_VD;10;1;10;IM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;0;237;false;false;
BPIC15_5;DK;99_NOCODE;36;4;57;SM;1.0;0.9175665494726268;0.9436508005421215;17;4;3.6666666666666665;11;1.2941176470588236;0.08088235294117647;134;7267;44;520;false;false;
BPIC15_5;DK;99_NOCODE;36;4;57;IMf;0.8685444155215398;0.9304799143508821;0.8997058706923067;15;4;2.857142857142857;9;1.2;0.08571428571428572;134;7267;55;337;false;false;
BPIC15_5;DK;99_NOCODE;36;4;57;IM;1.0;0.7440344303247528;0.8287009054537912;21;4;2.909090909090909;15;1.2380952380952381;0.06190476190476191;134;7267;3;371;false;false;
BPIC15_5;DK;16_LGSV;421;1;421;SM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;5;248;false;false;
BPIC15_5;DK;16_LGSV;421;1;421;IMf;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;0;306;false;false;
BPIC15_5;DK;16_LGSV;421;1;421;IM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;1;226;false;false;
BPIC15_5;DK;09_AWB45;149;1;179;SM;1.0;0.956268221574344;0.977645305514158;8;1;3.0;3;1.0;0.14285714285714285;134;7267;5;250;false;false;
BPIC15_5;DK;09_AWB45;149;1;179;IMf;0.9161073825503356;1.0;0.9563527473929061;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;1;208;false;false;
BPIC15_5;DK;09_AWB45;149;1;179;IM;1.0;0.9424812402895772;0.9703890269221606;6;1;3.0;2;1.0;0.2;134;7267;0;206;false;false;
BPIC15_5;DK;01_HOOFD_0;1155;18;10432;SM;0.6880590968684411;0.9227914185733681;0.7921979993142362;46;18;3.6666666666666665;27;1.2608695652173914;0.028019323671497585;134;7267;162;4713;false;false;
BPIC15_5;DK;01_HOOFD_0;1155;18;10432;IMf;0.974055984900142;0.24160295665880469;0.6108533439513695;58;14;3.739130434782609;32;1.3448275862068966;0.023593466424682397;134;7267;426;9905;false;false;
BPIC15_5;DK;01_HOOFD_0;1155;18;10432;IM;1.0;0.2552771982415303;0.4384609452926149;89;18;3.3658536585365852;60;1.303370786516854;0.01481103166496425;134;7267;394;62012;false;false;
BPIC15_5;DK;01_HOOFD_1;1119;28;7171;SM;0.07146346687665638;0.4444444444444444;0.6630065209810272;225;28;7.7612903225806456;223;2.982222222222222;0.013313492063492064;134;7267;3425;93953;false;true;
BPIC15_5;DK;01_HOOFD_1;1119;28;7171;IMf;0.8613581438616914;0.47892937344019515;0.6008660764327468;90;21;3.2;55;1.2666666666666666;0.014232209737827715;134;7267;172;20093;false;false;
BPIC15_5;DK;01_HOOFD_1;1119;28;7171;IM;1.0;0.2061114438529078;NaN;124;28;3.43859649122807;88;1.3225806451612903;0.010752688172043012;134;7267;358;3841023;false;true;
BPIC15_5;DK;01_HOOFD_4;972;30;8733;SM;0.9020710549667112;0.6638707734458615;0.731571972474247;133;30;4.476190476190476;92;1.3909774436090225;0.010537707906128959;134;7267;270;139274;false;false;
BPIC15_5;DK;01_HOOFD_4;972;30;8733;IMf;0.9832568709965408;0.37397267388135036;0.6367496761967729;80;28;4.76;49;1.425;0.018037974683544303;134;7267;267;101975;false;false;
BPIC15_5;DK;01_HOOFD_4;972;30;8733;IM;0.0;0.0;0.0;179;30;3.4683544303797467;123;1.318435754189944;0.007406942439269349;134;7267;348;600030;true;false;
BPIC15_5;DK;01_HOOFD_5;972;18;6386;SM;-1.0;NaN;0.5276712260209308;95;18;4.762711864406779;82;1.8526315789473684;0.019708846584546472;134;7267;106;32958;false;true;
BPIC15_5;DK;01_HOOFD_5;972;18;6386;IMf;0.9711660899614288;0.40395052712376667;0.5591627373866592;64;15;3.3846153846153846;35;1.28125;0.020337301587301588;134;7267;117;18536;false;false;
BPIC15_5;DK;01_HOOFD_5;972;18;6386;IM;0.0;0.0;0.0;134;18;3.3225806451612905;91;1.2985074626865671;0.00976321400516216;134;7267;309;600031;true;false;
